=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.07.28 19:47:18 =~=~=~=~=~=~=~=~=~=~=~=
00:02:52.019: Update in progress (Total 592432/840672 bytes).  70%
00:02:52.371: Update in progress (Total 595112/840672 bytes).  71%
00:02:52.521: Update in progress (Total 597256/840672 bytes).  71%
00:02:52.627: Update in progress (Total 599936/840672 bytes).  71%
00:02:52.657: Update in progress (Total 600472/840672 bytes).  71%
00:02:52.679: Update in progress (Total 601008/840672 bytes).  71%
00:02:52.702: Update in progress (Total 602080/840672 bytes).  72%
00:02:52.855: Update in progress (Total 604224/840672 bytes).  72%
00:02:52.937: Update in progress (Total 607976/840672 bytes).  72%
00:02:53.047: Update in progress (Total 608512/840672 bytes).  72%
00:02:53.098: Update in progress (Total 609584/840672 bytes).  73%
00:02:53.136: Update in progress (Total 610120/840672 bytes).  73%
00:02:53.352: Update in progress (Total 612264/840672 bytes).  73%
00:02:53.432: Update in progress (Total 614408/840672 bytes).  73%
00:02:53.499: Update in progress (Total 614944/840672 bytes).  73%
00:02:53.551: Update in progress (Total 616016/840672 bytes).  73%
00:02:53.564: Update in progress (Total 617088/840672 bytes).  73%
00:02:53.577: Update in progress (Total 618160/840672 bytes).  74%
00:02:53.648: Update in progress (Total 620304/840672 bytes).  74%
00:02:53.774: Update in progress (Total 622448/840672 bytes).  74%
00:02:53.862: Update in progress (Total 624592/840672 bytes).  74%
00:02:54.003: Update in progress (Total 626736/840672 bytes).  75%
00:02:54.032: Update in progress (Total 628880/840672 bytes).  75%
00:02:54.140: Update in progress (Total 629416/840672 bytes).  75%
00:02:54.169: Update in progress (Total 630488/840672 bytes).  75%
00:02:54.239: Update in progress (Total 631560/840672 bytes).  75%
00:02:54.260: Update in progress (Total 632632/840672 bytes).  75%
00:02:54.268: Update in progress (Total 633704/840672 bytes).  75%
00:02:54.282: Update in progress (Total 634776/840672 bytes).  76%
00:02:54.679: Update in progress (Total 636920/840672 bytes).  76%
00:02:54.696: Update in progress (Total 637992/840672 bytes).  76%
00:02:54.774: Update in progress (Total 640672/840672 bytes).  76%
00:02:54.828: Update in progress (Total 641208/840672 bytes).  76%
00:02:54.995: Update in progress (Total 644960/840672 bytes).  77%
00:02:55.048: Update in progress (Total 645496/840672 bytes).  77%
00:02:55.064: Update in progress (Total 646032/840672 bytes).  77%
00:02:55.082: Update in progress (Total 646568/840672 bytes).  77%
00:02:55.107: Update in progress (Total 647104/840672 bytes).  77%
00:02:55.183: Update in progress (Total 649248/840672 bytes).  77%
00:02:55.262: Update in progress (Total 649784/840672 bytes).  77%
00:02:55.270: Update in progress (Total 650320/840672 bytes).  77%
00:02:55.297: Update in progress (Total 650856/840672 bytes).  77%
00:02:55.382: Update in progress (Total 653000/840672 bytes).  78%
00:02:55.398: Update in progress (Total 655144/840672 bytes).  78%
00:02:55.477: Update in progress (Total 657288/840672 bytes).  78%
00:02:55.579: Update in progress (Total 659432/840672 bytes).  78%
00:02:55.663: Update in progress (Total 661576/840672 bytes).  79%
00:02:55.831: Update in progress (Total 663184/840672 bytes).  79%
00:02:55.903: Update in progress (Total 665328/840672 bytes).  79%
00:02:55.983: Update in progress (Total 669616/840672 bytes).  80%
00:02:56.054: Update in progress (Total 670688/840672 bytes).  80%
00:02:56.092: Update in progress (Total 671224/840672 bytes).  80%
00:02:56.178: Update in progress (Total 673368/840672 bytes).  80%
00:02:56.191: Update in progress (Total 673904/840672 bytes).  80%
00:02:56.261: Update in progress (Total 676584/840672 bytes).  80%
00:02:56.360: Update in progress (Total 677656/840672 bytes).  81%
00:02:56.375: Update in progress (Total 678192/840672 bytes).  81%
00:02:56.413: Update in progress (Total 678728/840672 bytes).  81%
00:02:56.474: Update in progress (Total 679264/840672 bytes).  81%
00:02:56.486: Update in progress (Total 679800/840672 bytes).  81%
00:02:56.556: Update in progress (Total 681944/840672 bytes).  81%
00:02:56.905: Update in progress (Total 683552/840672 bytes).  81%
00:02:56.976: Update in progress (Total 685696/840672 bytes).  82%
00:02:57.001: Update in progress (Total 686768/840672 bytes).  82%
00:02:57.010: Update in progress (Total 687304/840672 bytes).  82%
00:02:57.017: Update in progress (Total 687840/840672 bytes).  82%
00:02:57.088: Update in progress (Total 689984/840672 bytes).  82%
00:02:57.136: Update in progress (Total 690520/840672 bytes).  82%
00:02:57.176: Update in progress (Total 691056/840672 bytes).  82%
00:02:57.223: Update in progress (Total 692128/840672 bytes).  82%
00:02:57.291: Update in progress (Total 694272/840672 bytes).  83%
00:02:57.496: Update in progress (Total 698024/840672 bytes).  83%
00:02:57.554: Update in progress (Total 698560/840672 bytes).  83%
00:02:57.584: Update in progress (Total 699096/840672 bytes).  83%
00:02:57.593: Update in progress (Total 700168/840672 bytes).  83%
00:02:57.716: Update in progress (Total 702312/840672 bytes).  84%
00:02:57.774: Update in progress (Total 704456/840672 bytes).  84%
00:02:57.873: Update in progress (Total 706600/840672 bytes).  84%
00:02:57.910: Update in progress (Total 707136/840672 bytes).  84%
